MTU,Out Area,In Area,Physical Flow (MW)
02/01/2022 03:00:00 - 02/01/2022 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 03:00:00 - 02/01/2022 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 04:00:00 - 02/01/2022 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 04:00:00 - 02/01/2022 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 05:00:00 - 02/01/2022 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 05:00:00 - 02/01/2022 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 06:00:00 - 02/01/2022 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 06:00:00 - 02/01/2022 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 07:00:00 - 02/01/2022 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 07:00:00 - 02/01/2022 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 08:00:00 - 02/01/2022 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 08:00:00 - 02/01/2022 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 09:00:00 - 02/01/2022 10:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 09:00:00 - 02/01/2022 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 10:00:00 - 02/01/2022 11:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 10:00:00 - 02/01/2022 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 11:00:00 - 02/01/2022 12:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 11:00:00 - 02/01/2022 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2022 12:00:00 - 02/01/2022 13:00:00,BZN|FR,BZN|GB(IFA2),0.00
02/01/2022 12:00:00 - 02/01/2022 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
