MTU,Out Area,In Area,Physical Flow (MW)
01/01/2023 00:00:00 - 01/01/2023 01:00:00,BZN|FR,BZN|GB(IFA2),934.00
01/01/2023 00:00:00 - 01/01/2023 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 01:00:00 - 01/01/2023 02:00:00,BZN|FR,BZN|GB(IFA2),1020.00
01/01/2023 01:00:00 - 01/01/2023 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 02:00:00 - 01/01/2023 03:00:00,BZN|FR,BZN|GB(IFA2),926.00
01/01/2023 02:00:00 - 01/01/2023 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 03:00:00 - 01/01/2023 04:00:00,BZN|FR,BZN|GB(IFA2),923.00
01/01/2023 03:00:00 - 01/01/2023 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 04:00:00 - 01/01/2023 05:00:00,BZN|FR,BZN|GB(IFA2),832.00
01/01/2023 04:00:00 - 01/01/2023 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 05:00:00 - 01/01/2023 06:00:00,BZN|FR,BZN|GB(IFA2),927.00
01/01/2023 05:00:00 - 01/01/2023 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 06:00:00 - 01/01/2023 07:00:00,BZN|FR,BZN|GB(IFA2),1017.00
01/01/2023 06:00:00 - 01/01/2023 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 07:00:00 - 01/01/2023 08:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2023 07:00:00 - 01/01/2023 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 08:00:00 - 01/01/2023 09:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2023 08:00:00 - 01/01/2023 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 09:00:00 - 01/01/2023 10:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 09:00:00 - 01/01/2023 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 10:00:00 - 01/01/2023 11:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 10:00:00 - 01/01/2023 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 11:00:00 - 01/01/2023 12:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 11:00:00 - 01/01/2023 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 12:00:00 - 01/01/2023 13:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 12:00:00 - 01/01/2023 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 13:00:00 - 01/01/2023 14:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 13:00:00 - 01/01/2023 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 14:00:00 - 01/01/2023 15:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 14:00:00 - 01/01/2023 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 15:00:00 - 01/01/2023 16:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 15:00:00 - 01/01/2023 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 16:00:00 - 01/01/2023 17:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 16:00:00 - 01/01/2023 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 17:00:00 - 01/01/2023 18:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 17:00:00 - 01/01/2023 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 18:00:00 - 01/01/2023 19:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 18:00:00 - 01/01/2023 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 19:00:00 - 01/01/2023 20:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 19:00:00 - 01/01/2023 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 20:00:00 - 01/01/2023 21:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 20:00:00 - 01/01/2023 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 21:00:00 - 01/01/2023 22:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 21:00:00 - 01/01/2023 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 22:00:00 - 01/01/2023 23:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 22:00:00 - 01/01/2023 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2023 23:00:00 - 02/01/2023 00:00:00,BZN|FR,BZN|GB(IFA2),1025.00
01/01/2023 23:00:00 - 02/01/2023 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2023 00:00:00 - 02/01/2023 01:00:00,BZN|FR,BZN|GB(IFA2),1025.00
02/01/2023 00:00:00 - 02/01/2023 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2023 01:00:00 - 02/01/2023 02:00:00,BZN|FR,BZN|GB(IFA2),1026.00
02/01/2023 01:00:00 - 02/01/2023 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2023 02:00:00 - 02/01/2023 03:00:00,BZN|FR,BZN|GB(IFA2),1026.00
02/01/2023 02:00:00 - 02/01/2023 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
