MTU,Out Area,In Area,Physical Flow (MW)
01/01/2025 13:00:00 - 01/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 14:00:00 - 01/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 14:00:00 - 01/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 15:00:00 - 01/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 15:00:00 - 01/01/2025 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 16:00:00 - 01/01/2025 17:00:00,BZN|FR,BZN|GB(IFA2),1023.75
01/01/2025 16:00:00 - 01/01/2025 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 17:00:00 - 01/01/2025 18:00:00,BZN|FR,BZN|GB(IFA2),1023.50
01/01/2025 17:00:00 - 01/01/2025 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 18:00:00 - 01/01/2025 19:00:00,BZN|FR,BZN|GB(IFA2),1023.75
01/01/2025 18:00:00 - 01/01/2025 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 19:00:00 - 01/01/2025 20:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 19:00:00 - 01/01/2025 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 20:00:00 - 01/01/2025 21:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 20:00:00 - 01/01/2025 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 21:00:00 - 01/01/2025 22:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 21:00:00 - 01/01/2025 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 22:00:00 - 01/01/2025 23:00:00,BZN|FR,BZN|GB(IFA2),1024.25
01/01/2025 22:00:00 - 01/01/2025 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 23:00:00 - 02/01/2025 00:00:00,BZN|FR,BZN|GB(IFA2),1024.50
01/01/2025 23:00:00 - 02/01/2025 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 00:00:00 - 02/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),1024.75
02/01/2025 00:00:00 - 02/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 01:00:00 - 02/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),1024.75
02/01/2025 01:00:00 - 02/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 02:00:00 - 02/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),1025.00
02/01/2025 02:00:00 - 02/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 03:00:00 - 02/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),1025.00
02/01/2025 03:00:00 - 02/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 04:00:00 - 02/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),1024.25
02/01/2025 04:00:00 - 02/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 05:00:00 - 02/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),951.75
02/01/2025 05:00:00 - 02/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 06:00:00 - 02/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),1013.25
02/01/2025 06:00:00 - 02/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 07:00:00 - 02/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),530.50
02/01/2025 07:00:00 - 02/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 08:00:00 - 02/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),768.50
02/01/2025 08:00:00 - 02/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 09:00:00 - 02/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),996.75
02/01/2025 09:00:00 - 02/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 10:00:00 - 02/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),1024.00
02/01/2025 10:00:00 - 02/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 11:00:00 - 02/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),1024.00
02/01/2025 11:00:00 - 02/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 12:00:00 - 02/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),1024.00
02/01/2025 12:00:00 - 02/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 13:00:00 - 02/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),844.25
02/01/2025 13:00:00 - 02/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 14:00:00 - 02/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),771.75
02/01/2025 14:00:00 - 02/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 15:00:00 - 02/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),657.75
02/01/2025 15:00:00 - 02/01/2025 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 16:00:00 - 02/01/2025 17:00:00,BZN|FR,BZN|GB(IFA2),952.00
02/01/2025 16:00:00 - 02/01/2025 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 17:00:00 - 02/01/2025 18:00:00,BZN|FR,BZN|GB(IFA2),1020.25
02/01/2025 17:00:00 - 02/01/2025 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 18:00:00 - 02/01/2025 19:00:00,BZN|FR,BZN|GB(IFA2),1023.75
02/01/2025 18:00:00 - 02/01/2025 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 19:00:00 - 02/01/2025 20:00:00,BZN|FR,BZN|GB(IFA2),1024.00
02/01/2025 19:00:00 - 02/01/2025 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 20:00:00 - 02/01/2025 21:00:00,BZN|FR,BZN|GB(IFA2),1024.00
02/01/2025 20:00:00 - 02/01/2025 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 21:00:00 - 02/01/2025 22:00:00,BZN|FR,BZN|GB(IFA2),1007.50
02/01/2025 21:00:00 - 02/01/2025 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 22:00:00 - 02/01/2025 23:00:00,BZN|FR,BZN|GB(IFA2),1004.75
02/01/2025 22:00:00 - 02/01/2025 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
02/01/2025 23:00:00 - 03/01/2025 00:00:00,BZN|FR,BZN|GB(IFA2),664.00
02/01/2025 23:00:00 - 03/01/2025 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 00:00:00 - 03/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),635.50
03/01/2025 00:00:00 - 03/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 01:00:00 - 03/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),752.00
03/01/2025 01:00:00 - 03/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 02:00:00 - 03/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),675.50
03/01/2025 02:00:00 - 03/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 03:00:00 - 03/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),573.00
03/01/2025 03:00:00 - 03/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 04:00:00 - 03/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),293.00
03/01/2025 04:00:00 - 03/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 05:00:00 - 03/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),139.00
03/01/2025 05:00:00 - 03/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 06:00:00 - 03/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
03/01/2025 06:00:00 - 03/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,87.50
03/01/2025 07:00:00 - 03/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),74.00
03/01/2025 07:00:00 - 03/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 08:00:00 - 03/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),490.00
03/01/2025 08:00:00 - 03/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 09:00:00 - 03/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),961.75
03/01/2025 09:00:00 - 03/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 10:00:00 - 03/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),952.50
03/01/2025 10:00:00 - 03/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 11:00:00 - 03/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),882.75
03/01/2025 11:00:00 - 03/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 12:00:00 - 03/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),1004.50
03/01/2025 12:00:00 - 03/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 13:00:00 - 03/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 13:00:00 - 03/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 14:00:00 - 03/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 14:00:00 - 03/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 15:00:00 - 03/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 15:00:00 - 03/01/2025 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 16:00:00 - 03/01/2025 17:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 16:00:00 - 03/01/2025 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 17:00:00 - 03/01/2025 18:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 17:00:00 - 03/01/2025 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 18:00:00 - 03/01/2025 19:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 18:00:00 - 03/01/2025 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 19:00:00 - 03/01/2025 20:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 19:00:00 - 03/01/2025 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 20:00:00 - 03/01/2025 21:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 20:00:00 - 03/01/2025 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 21:00:00 - 03/01/2025 22:00:00,BZN|FR,BZN|GB(IFA2),1024.00
03/01/2025 21:00:00 - 03/01/2025 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 22:00:00 - 03/01/2025 23:00:00,BZN|FR,BZN|GB(IFA2),1023.25
03/01/2025 22:00:00 - 03/01/2025 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
03/01/2025 23:00:00 - 04/01/2025 00:00:00,BZN|FR,BZN|GB(IFA2),1023.75
03/01/2025 23:00:00 - 04/01/2025 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 00:00:00 - 04/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),1024.25
04/01/2025 00:00:00 - 04/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 01:00:00 - 04/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),1024.00
04/01/2025 01:00:00 - 04/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 02:00:00 - 04/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),1024.25
04/01/2025 02:00:00 - 04/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 03:00:00 - 04/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),1005.75
04/01/2025 03:00:00 - 04/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 04:00:00 - 04/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),622.00
04/01/2025 04:00:00 - 04/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 05:00:00 - 04/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),258.50
04/01/2025 05:00:00 - 04/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 06:00:00 - 04/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),227.00
04/01/2025 06:00:00 - 04/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 07:00:00 - 04/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),381.00
04/01/2025 07:00:00 - 04/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 08:00:00 - 04/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),276.75
04/01/2025 08:00:00 - 04/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 09:00:00 - 04/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),526.25
04/01/2025 09:00:00 - 04/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 10:00:00 - 04/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),780.50
04/01/2025 10:00:00 - 04/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 11:00:00 - 04/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),828.50
04/01/2025 11:00:00 - 04/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 12:00:00 - 04/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),979.00
04/01/2025 12:00:00 - 04/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 13:00:00 - 04/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),923.50
04/01/2025 13:00:00 - 04/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 14:00:00 - 04/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),954.00
04/01/2025 14:00:00 - 04/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 15:00:00 - 04/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),1015.75
04/01/2025 15:00:00 - 04/01/2025 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 16:00:00 - 04/01/2025 17:00:00,BZN|FR,BZN|GB(IFA2),908.50
04/01/2025 16:00:00 - 04/01/2025 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 17:00:00 - 04/01/2025 18:00:00,BZN|FR,BZN|GB(IFA2),1006.25
04/01/2025 17:00:00 - 04/01/2025 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 18:00:00 - 04/01/2025 19:00:00,BZN|FR,BZN|GB(IFA2),1023.00
04/01/2025 18:00:00 - 04/01/2025 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 19:00:00 - 04/01/2025 20:00:00,BZN|FR,BZN|GB(IFA2),955.00
04/01/2025 19:00:00 - 04/01/2025 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 20:00:00 - 04/01/2025 21:00:00,BZN|FR,BZN|GB(IFA2),864.00
04/01/2025 20:00:00 - 04/01/2025 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 21:00:00 - 04/01/2025 22:00:00,BZN|FR,BZN|GB(IFA2),894.75
04/01/2025 21:00:00 - 04/01/2025 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 22:00:00 - 04/01/2025 23:00:00,BZN|FR,BZN|GB(IFA2),1008.25
04/01/2025 22:00:00 - 04/01/2025 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
04/01/2025 23:00:00 - 05/01/2025 00:00:00,BZN|FR,BZN|GB(IFA2),1024.00
04/01/2025 23:00:00 - 05/01/2025 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 00:00:00 - 05/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 00:00:00 - 05/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 01:00:00 - 05/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),1024.25
05/01/2025 01:00:00 - 05/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 02:00:00 - 05/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),1024.50
05/01/2025 02:00:00 - 05/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 03:00:00 - 05/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 03:00:00 - 05/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 04:00:00 - 05/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 04:00:00 - 05/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 05:00:00 - 05/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),1025.25
05/01/2025 05:00:00 - 05/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 06:00:00 - 05/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 06:00:00 - 05/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 07:00:00 - 05/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 07:00:00 - 05/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 08:00:00 - 05/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),1024.50
05/01/2025 08:00:00 - 05/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 09:00:00 - 05/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),1024.75
05/01/2025 09:00:00 - 05/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 10:00:00 - 05/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 10:00:00 - 05/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 11:00:00 - 05/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 11:00:00 - 05/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 12:00:00 - 05/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 12:00:00 - 05/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 13:00:00 - 05/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 13:00:00 - 05/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 14:00:00 - 05/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 14:00:00 - 05/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 15:00:00 - 05/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),1024.25
05/01/2025 15:00:00 - 05/01/2025 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 16:00:00 - 05/01/2025 17:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 16:00:00 - 05/01/2025 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 17:00:00 - 05/01/2025 18:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2025 17:00:00 - 05/01/2025 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 18:00:00 - 05/01/2025 19:00:00,BZN|FR,BZN|GB(IFA2),1024.25
05/01/2025 18:00:00 - 05/01/2025 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 19:00:00 - 05/01/2025 20:00:00,BZN|FR,BZN|GB(IFA2),1024.25
05/01/2025 19:00:00 - 05/01/2025 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 20:00:00 - 05/01/2025 21:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 20:00:00 - 05/01/2025 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 21:00:00 - 05/01/2025 22:00:00,BZN|FR,BZN|GB(IFA2),1024.75
05/01/2025 21:00:00 - 05/01/2025 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 22:00:00 - 05/01/2025 23:00:00,BZN|FR,BZN|GB(IFA2),1024.75
05/01/2025 22:00:00 - 05/01/2025 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2025 23:00:00 - 06/01/2025 00:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2025 23:00:00 - 06/01/2025 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 00:00:00 - 06/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),1025.25
06/01/2025 00:00:00 - 06/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 01:00:00 - 06/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),1025.25
06/01/2025 01:00:00 - 06/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 02:00:00 - 06/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),1025.00
06/01/2025 02:00:00 - 06/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 03:00:00 - 06/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),1025.50
06/01/2025 03:00:00 - 06/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 04:00:00 - 06/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),981.00
06/01/2025 04:00:00 - 06/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 05:00:00 - 06/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),969.75
06/01/2025 05:00:00 - 06/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 06:00:00 - 06/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),1017.50
06/01/2025 06:00:00 - 06/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 07:00:00 - 06/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 07:00:00 - 06/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 08:00:00 - 06/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),1023.75
06/01/2025 08:00:00 - 06/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 09:00:00 - 06/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 09:00:00 - 06/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 10:00:00 - 06/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 10:00:00 - 06/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 11:00:00 - 06/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 11:00:00 - 06/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 12:00:00 - 06/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 12:00:00 - 06/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 13:00:00 - 06/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 13:00:00 - 06/01/2025 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 14:00:00 - 06/01/2025 15:00:00,BZN|FR,BZN|GB(IFA2),1024.00
06/01/2025 14:00:00 - 06/01/2025 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2025 15:00:00 - 06/01/2025 16:00:00,BZN|FR,BZN|GB(IFA2),1024.00
