MTU,Out Area,In Area,Physical Flow (MW)
01/01/2025 00:00:00 - 01/01/2025 01:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 00:00:00 - 01/01/2025 01:00:00,BZN|GB(IFA2),BZN|FR,994.25
01/01/2025 01:00:00 - 01/01/2025 02:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 01:00:00 - 01/01/2025 02:00:00,BZN|GB(IFA2),BZN|FR,902.50
01/01/2025 02:00:00 - 01/01/2025 03:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 02:00:00 - 01/01/2025 03:00:00,BZN|GB(IFA2),BZN|FR,873.25
01/01/2025 03:00:00 - 01/01/2025 04:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 03:00:00 - 01/01/2025 04:00:00,BZN|GB(IFA2),BZN|FR,893.50
01/01/2025 04:00:00 - 01/01/2025 05:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 04:00:00 - 01/01/2025 05:00:00,BZN|GB(IFA2),BZN|FR,981.75
01/01/2025 05:00:00 - 01/01/2025 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 05:00:00 - 01/01/2025 06:00:00,BZN|GB(IFA2),BZN|FR,994.00
01/01/2025 06:00:00 - 01/01/2025 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 06:00:00 - 01/01/2025 07:00:00,BZN|GB(IFA2),BZN|FR,995.50
01/01/2025 07:00:00 - 01/01/2025 08:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 07:00:00 - 01/01/2025 08:00:00,BZN|GB(IFA2),BZN|FR,487.25
01/01/2025 08:00:00 - 01/01/2025 09:00:00,BZN|FR,BZN|GB(IFA2),0.00
01/01/2025 08:00:00 - 01/01/2025 09:00:00,BZN|GB(IFA2),BZN|FR,457.00
01/01/2025 09:00:00 - 01/01/2025 10:00:00,BZN|FR,BZN|GB(IFA2),43.00
01/01/2025 09:00:00 - 01/01/2025 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 10:00:00 - 01/01/2025 11:00:00,BZN|FR,BZN|GB(IFA2),492.50
01/01/2025 10:00:00 - 01/01/2025 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 11:00:00 - 01/01/2025 12:00:00,BZN|FR,BZN|GB(IFA2),961.75
01/01/2025 11:00:00 - 01/01/2025 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 12:00:00 - 01/01/2025 13:00:00,BZN|FR,BZN|GB(IFA2),1024.00
01/01/2025 12:00:00 - 01/01/2025 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
01/01/2025 13:00:00 - 01/01/2025 14:00:00,BZN|FR,BZN|GB(IFA2),1024.00
