,GB Price (GBP/MWh),FR Price (GBP/MWh),Spread (GBP/MWh)
Mean,133.19420736308754,105.09688020851257,28.09732715457498
Minimum,0.47750000000000004,-4.9395888,-240.34627060000003
Maximum,675.93875,635.2570835333333,264.386206875
Std Dev,89.3704020255216,97.63818587961751,36.12677530560085
Skewness,2.3787954678020333,2.0041832728064493,-0.9975083956975382
Excess Kurtosis,7.010763370994571,4.508559565488297,8.138743828543783
Percentile 5%,55.18833333333333,13.23355615,-34.77562077604167
Percentile 95%,330.43895833333335,330.04967033125,75.992459975
