,GB Price (GBP/MWh),FR Price (GBP/MWh),Spread (GBP/MWh)
Mean,133.071013681592,104.91817209616727,28.15284158542478
Minimum,-62.82,-115.9498938,-2325.3602712000006
Maximum,1846.36,2515.8302712000004,1428.1115668
Std Dev,98.68388045482455,103.33642902255826,50.63728074286416
Skewness,3.0599717796372463,2.5300870345602977,-1.3668119700933312
Excess Kurtosis,18.99773526460473,17.988396352803473,292.57910734360485
Percentile 5%,32.686,0.3708304600000001,-36.374640145
Percentile 95%,327.63699999999994,330.8397027449997,88.38913701
